customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,Base_Revenue,FTP_Cost,Allocated_Cost,PD_Risk
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1,522.19,145.24,175,0.0924
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,3507.87,789.04,175,0.0968
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,7478.11,2109.46,250,0.1392
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0,513.26,111.74,200,0.0604
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,4359.2,1028.54,175,0.005
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,4608.99,1106.65,200,0.082
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0,50.96,11.72,225,0.0112
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,5034.2,1008.53,300,0.1896
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,6046.57,1351.72,225,0.1396
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,5252.9,1227.95,175,0.0664
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,4875.68,1128.05,200,0.1288
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,411.66,114.67,200,0.1412
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,0,132.17,27.06,200,0.1496
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0,1061.86,253.67,200,0.1204
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,345.17,70.33,225,0.086
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,5527.21,1619.83,225,0.0936
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,5526.13,1541.91,150,0.0788
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,65.13,19.42,225,0.1204
15661507,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,863.12,251.18,150,0.1052
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0,272.25,63.05,225,0.0496
15577657,732,France,Male,41,8,0.0,2,1,1,170886.17,0,838.64,225.73,225,0.0472
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,645.6,148.91,200,0.0856
15699309,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,667.26,192.72,150,0.136
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0,50.0,12.05,225,0.0724
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0,897.9,213.33,175,0.005
15738191,577,France,Male,25,3,0.0,2,0,1,124508.29,0,600.62,175.02,225,0.1092
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,6659.41,1889.1,175,0.0376
15700772,571,France,Male,44,9,0.0,2,0,0,38433.35,0,199.19,59.09,200,0.1116
15728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,6408.95,1324.4,175,0.1104
15656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,2769.7,621.34,225,0.1756
15589475,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,852.76,196.21,250,0.1036
15706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,4025.59,975.94,175,0.1268
15750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,4567.4,1129.58,200,0.1188
15659428,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,158.05,36.22,225,0.132
15732963,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,753.91,210.37,225,0.0512
15794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,6131.7,1363.23,150,0.15
15788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,6308.04,1700.97,175,0.144
15729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,3255.6,928.42,175,0.0184
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0,187.24,48.75,175,0.005
15585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,3945.35,928.8,225,0.1072
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,376.84,82.45,150,0.1512
15738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,6122.81,1306.82,150,0.154
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,4823.64,1323.69,175,0.1176
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,6372.19,1573.38,150,0.0064
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,7110.95,1455.13,175,0.076
15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,5118.98,1527.42,225,0.0296
15602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,5523.09,1475.38,175,0.0084
15771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,6238.3,1774.29,175,0.0852
15766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,4901.67,1195.12,175,0.12
15771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,5155.87,1523.79,200,0.0296
15616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,5808.03,1277.49,200,0.0608
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,6670.24,1457.54,200,0.106
15683553,788,France,Female,33,5,0.0,2,0,0,116978.19,0,499.66,144.42,200,0.0248
15702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,5655.91,1635.53,150,0.078
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,3945.17,985.91,150,0.0996
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,5219.32,1109.52,175,0.0924
15630053,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,5397.41,1244.22,150,0.0776
